EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7646102905273438,0.7992806434631348,0.7966960072517395,0.7646189332008362
1,0.7572157382965088,0.7842247486114502,0.802712082862854,0.7572116851806641
2,0.7698194980621338,0.8107286095619202,0.7966479659080505,0.7698284387588501
3,0.7487379312515259,0.7761033177375793,0.7922922968864441,0.7487378120422363
4,0.7620249390602112,0.7925574779510498,0.7999560236930847,0.7620190382003784
5,0.7640680074691772,0.7907147407531738,0.8062719106674194,0.7640677690505981
6,0.7665343880653381,0.8089479207992554,0.7971961498260498,0.7665225267410278
7,0.7543938755989075,0.789276123046875,0.7951672673225403,0.7543801665306091
8,0.742987334728241,0.7838910818099976,0.770660936832428,0.7429911494255066
9,0.7352354526519775,0.7691056132316589,0.7726802229881287,0.7352378368377686
