EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7188594341278076,0.7213383316993713,0.7234678268432617,0.7188595533370972
1,0.7587246298789978,0.7629607915878296,0.7606291770935059,0.7587245106697083
2,0.7552709579467773,0.7599592804908752,0.7566795349121094,0.755270779132843
3,0.7495622038841248,0.7506381869316101,0.7554898262023926,0.7495623826980591
4,0.7424495220184326,0.7428856492042542,0.7485829591751099,0.7424498796463013
5,0.76508629322052,0.7687519192695618,0.7683485746383667,0.7650861740112305
6,0.754022479057312,0.7571888566017151,0.7578278183937073,0.7540224194526672
7,0.7622407078742981,0.7653588652610779,0.7651065587997437,0.7622406482696533
8,0.7541248798370361,0.7573866844177246,0.7574951648712158,0.7541247606277466
9,0.7513429522514343,0.7539575099945068,0.7553322911262512,0.7513430714607239
