EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7581215500831604,0.7595573663711548,0.7664242386817932,0.7581218481063843
1,0.7728622555732727,0.7768915295600891,0.7792988419532776,0.7728623747825623
2,0.7294978499412537,0.735499382019043,0.7343606948852539,0.7294978499412537
3,0.7413426637649536,0.7467003464698792,0.746444821357727,0.7413425445556641
4,0.7400116324424744,0.7476429343223572,0.7421698570251465,0.7400112748146057
5,0.7469783425331116,0.7513087391853333,0.7531831860542297,0.7469784021377563
6,0.7560166716575623,0.7622203826904297,0.7586473822593689,0.7560164928436279
7,0.7372015714645386,0.7428040504455566,0.7410317659378052,0.7372015714645386
8,0.7806198000907898,0.7874977588653564,0.7832531332969666,0.7806193232536316
9,0.7541120648384094,0.7582315802574158,0.7596414685249329,0.7541118860244751
