EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.75579833984375,0.7587535381317139,0.7566561698913574,0.7557981610298157
1,0.7714384198188782,0.7767935395240784,0.7704758644104004,0.7714380025863647
2,0.7536107897758484,0.7543031573295593,0.757428765296936,0.7536110281944275
3,0.7502679824829102,0.7518251538276672,0.752977192401886,0.7502680420875549
4,0.7309179902076721,0.7330360412597656,0.7337955236434937,0.7309178709983826
5,0.7661860585212708,0.7675096392631531,0.7693142890930176,0.7661861777305603
6,0.7598841786384583,0.7642222046852112,0.7594525218009949,0.7598839998245239
7,0.7666326761245728,0.7662392854690552,0.7712312936782837,0.7666329145431519
8,0.7420249581336975,0.7433686852455139,0.7446584701538086,0.7420250773429871
9,0.7858484983444214,0.7846693992614746,0.7912455797195435,0.7858489751815796
