EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7384719252586365,0.8554862141609192,0.9267871975898743,0.7396790385246277
1,0.7692565321922302,0.8765076398849487,0.9577258229255676,0.7693908214569092
2,0.7433887720108032,0.9030657410621643,0.9047796726226807,0.7445635795593262
3,0.749366819858551,0.8952309489250183,0.9230118989944458,0.7500702738761902
4,0.7424796223640442,0.8936694860458374,0.92463618516922,0.7426010370254517
5,0.7459309697151184,0.9133034348487854,0.9274581074714661,0.7457829713821411
6,0.7399659752845764,0.8798322677612305,0.9405360221862793,0.7401810884475708
7,0.7478530406951904,0.867682695388794,0.9529529213905334,0.7484251856803894
8,0.7641111016273499,0.9003483057022095,0.9631645679473877,0.7644100785255432
9,0.7613370418548584,0.9064801335334778,0.9439561367034912,0.7603563070297241
