EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7491819858551025,1.137513518333435,1.0723284482955933,1.1756340265274048,0.7949879765510559,0.8255347609519958
1,0.7548559308052063,1.1575424671173096,1.0282434225082397,1.1483334302902222,0.7897153496742249,0.8235543370246887
2,0.7316439747810364,1.1026500463485718,0.9986239671707153,1.0869959592819214,0.7815457582473755,0.8093284368515015
3,0.7158710360527039,1.0759673118591309,1.00830078125,1.0950496196746826,0.7689579725265503,0.7964978814125061
4,0.7767948508262634,1.1004058122634888,1.0387752056121826,1.112510085105896,0.8348868489265442,0.8555101156234741
5,0.7716942429542542,1.1148102283477783,1.0508204698562622,1.1119468212127686,0.8155503869056702,0.8312737345695496
6,0.7705901265144348,1.0955595970153809,1.0286742448806763,1.0912927389144897,0.8213468194007874,0.8411572575569153
7,0.7694758772850037,1.1914445161819458,1.0624847412109375,1.1988264322280884,0.8032353520393372,0.8472636938095093
8,0.742905855178833,1.1299563646316528,1.0568965673446655,1.1409904956817627,0.7801102995872498,0.8067751526832581
9,0.7429560422897339,1.1578221321105957,1.0453236103057861,1.161808729171753,0.7852575778961182,0.813685953617096
