EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.736709713935852,1.0616047382354736,1.0391236543655396,0.9807813167572021,0.7726564407348633,0.7995381951332092
1,0.7505617737770081,1.0696909427642822,1.0104337930679321,0.9680496454238892,0.7854019999504089,0.8144370317459106
2,0.7375965714454651,1.0254411697387695,1.0095473527908325,0.9511937499046326,0.7793949842453003,0.804960310459137
3,0.7457530498504639,1.0646921396255493,1.0086630582809448,0.9637908935546875,0.7861777544021606,0.8167862892150879
4,0.7530672550201416,1.0783231258392334,1.0576248168945312,0.986514687538147,0.7831140160560608,0.8085195422172546
5,0.7692737579345703,1.0609158277511597,1.069006085395813,0.9703706502914429,0.7980011701583862,0.812584638595581
6,0.7659333348274231,1.035215973854065,1.0772793292999268,0.9735985994338989,0.8051543235778809,0.8182638883590698
7,0.7584046125411987,1.0254806280136108,1.0396510362625122,0.9406968951225281,0.7923479080200195,0.8129357695579529
8,0.729458749294281,1.0370240211486816,1.091047763824463,0.9804273843765259,0.754004716873169,0.7726423740386963
9,0.7546565532684326,1.0663073062896729,1.0390079021453857,0.9907009601593018,0.7959610819816589,0.8257749080657959
