EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7381067872047424,1.109765887260437,1.0399566888809204,1.117089033126831,0.7936792373657227,0.8157894015312195
1,0.7761451005935669,1.1602810621261597,1.0525610446929932,1.1352788209915161,0.8074353933334351,0.8385849595069885
2,0.7658143043518066,1.1484307050704956,1.0321601629257202,1.126665472984314,0.8100273609161377,0.8393983840942383
3,0.7438294291496277,1.0939363241195679,1.0201326608657837,1.0859543085098267,0.7885085940361023,0.8106220364570618
4,0.7507847547531128,1.1113048791885376,1.0289134979248047,1.104669451713562,0.8038896322250366,0.829767107963562
5,0.7232108116149902,1.1080964803695679,0.9901602864265442,1.0877257585525513,0.7705386281013489,0.8040757775306702
6,0.7406917810440063,1.0828077793121338,1.0347015857696533,1.078407883644104,0.7912995219230652,0.812946617603302
7,0.7651064395904541,1.1107183694839478,1.044737696647644,1.1125258207321167,0.812338650226593,0.8358845710754395
8,0.7541798949241638,1.060367226600647,1.077649474143982,1.1009089946746826,0.8092318773269653,0.8257374167442322
9,0.7567729353904724,1.0920157432556152,1.038834571838379,1.1043341159820557,0.802597165107727,0.8240372538566589
