EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.745014488697052,0.744945764541626,0.745308518409729,0.7450146079063416
1,0.7419682145118713,0.741646945476532,0.7425119876861572,0.7419683933258057
2,0.7598205208778381,0.7599360346794128,0.7599331140518188,0.7598203420639038
3,0.7644928693771362,0.7646927237510681,0.7645447850227356,0.7644927501678467
4,0.7518120408058167,0.7518386840820312,0.7520243525505066,0.7518119215965271
5,0.7335228323936462,0.7334161400794983,0.733847439289093,0.7335229516029358
6,0.7565277218818665,0.7568236589431763,0.7564558386802673,0.7565276622772217
7,0.7529839277267456,0.753153383731842,0.7530301213264465,0.7529839277267456
8,0.7663122415542603,0.7655628323554993,0.767314612865448,0.7663125395774841
9,0.754453182220459,0.7550132274627686,0.7541084885597229,0.7544530630111694
