EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7492426633834839,0.7504401803016663,0.7513850927352905,0.7492427229881287
1,0.7748674750328064,0.7762290835380554,0.7766740918159485,0.7748674750328064
2,0.7605373859405518,0.7632035613059998,0.7610976696014404,0.7605372667312622
3,0.7526899576187134,0.7542606592178345,0.7544622421264648,0.752689778804779
4,0.7837638854980469,0.7887038588523865,0.7819927930831909,0.7837634086608887
5,0.7631145715713501,0.7665970325469971,0.7624490857124329,0.763114333152771
6,0.7515482902526855,0.7513806223869324,0.7551394701004028,0.7515482902526855
7,0.7650203704833984,0.7683520913124084,0.7644639611244202,0.7650201916694641
8,0.7710543274879456,0.7746192812919617,0.7707341313362122,0.7710540890693665
9,0.7842935919761658,0.7839627861976624,0.787613034248352,0.7842935919761658
