EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.733884871006012,0.7536283135414124,0.7759166955947876,0.7338768243789673
1,0.739713728427887,0.7614930868148804,0.7680884599685669,0.7397162318229675
2,0.745136559009552,0.776055634021759,0.7706619501113892,0.7451357245445251
3,0.768802285194397,0.7897259593009949,0.8044328093528748,0.7687994241714478
4,0.752519428730011,0.7739124894142151,0.7843988537788391,0.7525156736373901
5,0.7616043090820312,0.7915642857551575,0.7832788825035095,0.7616065144538879
6,0.7526113390922546,0.7794843912124634,0.7738088369369507,0.752611517906189
7,0.7685127854347229,0.783948540687561,0.8121588230133057,0.7685022354125977
8,0.7817955017089844,0.7974150776863098,0.8239312171936035,0.7817872166633606
9,0.7694296836853027,0.7995203733444214,0.7898669242858887,0.7694315314292908
