EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7373743653297424,0.7434477806091309,0.7455214262008667,0.7373743653297424
1,0.7498905658721924,0.7525396943092346,0.7598258256912231,0.7498907446861267
2,0.7469114065170288,0.7541144490242004,0.7519747018814087,0.7469114065170288
3,0.7255183458328247,0.731521725654602,0.7332127690315247,0.7255183458328247
4,0.7483116984367371,0.7519015073776245,0.7576583623886108,0.7483119964599609
5,0.7350694537162781,0.7437976002693176,0.7405362725257874,0.735069215297699
6,0.7661483287811279,0.7693424224853516,0.7762585282325745,0.7661486268043518
7,0.7750012278556824,0.7813109159469604,0.7823158502578735,0.7750009894371033
8,0.7661194801330566,0.7754273414611816,0.7700409889221191,0.7661193013191223
9,0.7769080996513367,0.7824439406394958,0.7835418581962585,0.7769081592559814
