EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7613969445228577,1.1419833898544312,1.25309419631958,1.1310099363327026,0.8045194745063782,0.8106457591056824
1,0.7728152275085449,1.158011555671692,1.2628705501556396,1.1510847806930542,0.8337360620498657,0.8324337005615234
2,0.765490710735321,1.1489545106887817,1.238716959953308,1.134546160697937,0.8170245885848999,0.8251808285713196
3,0.7591384053230286,1.1458476781845093,1.2060552835464478,1.1073930263519287,0.8139634728431702,0.8190902471542358
4,0.7420353889465332,1.1517950296401978,1.2410058975219727,1.153391718864441,0.7921658158302307,0.8049963116645813
5,0.7588911056518555,1.1824276447296143,1.2425956726074219,1.1790943145751953,0.8079450130462646,0.8257396221160889
6,0.7473999261856079,1.15873122215271,1.211928129196167,1.1363427639007568,0.800435483455658,0.8154300451278687
7,0.7264490127563477,1.097892165184021,1.1377671957015991,1.0581456422805786,0.796846866607666,0.8035408854484558
8,0.7572258114814758,1.1729495525360107,1.1946098804473877,1.1315840482711792,0.8126840591430664,0.8250964879989624
9,0.7410479187965393,1.122957468032837,1.2768886089324951,1.1535956859588623,0.8000053763389587,0.8054755330085754
