EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7716646194458008,0.7851739525794983,0.7713276743888855,0.7844685316085815,0.7695850133895874,0.7803969979286194
1,0.7483444213867188,0.752824604511261,0.7494912147521973,0.7533962726593018,0.748811662197113,0.7512353658676147
2,0.7461526393890381,0.7505311369895935,0.7461839318275452,0.7502279877662659,0.7471015453338623,0.7502914667129517
3,0.7734923958778381,0.7800882458686829,0.774652898311615,0.7807902097702026,0.7721855044364929,0.7772407531738281
4,0.7868981957435608,0.8035677671432495,0.7874509692192078,0.8037410378456116,0.7859987616539001,0.7994830012321472
5,0.7550906538963318,0.7604197263717651,0.756138026714325,0.7610645294189453,0.7549589276313782,0.758836567401886
6,0.7614036798477173,0.7675549387931824,0.7627886533737183,0.7685543298721313,0.7631096839904785,0.7675963640213013
7,0.7481730580329895,0.7559348940849304,0.7487039566040039,0.756013035774231,0.7499935030937195,0.7557140588760376
8,0.7475409507751465,0.7544003129005432,0.747750461101532,0.7542675733566284,0.7482247352600098,0.7534146308898926
9,0.7828899621963501,0.790170431137085,0.7830527424812317,0.7898907661437988,0.7842628955841064,0.7897047400474548
