EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7608121633529663,1.3286467790603638,1.493007779121399,0.7752129435539246,1.3256726264953613,0.7756433486938477
1,0.7461010813713074,1.2943446636199951,1.4238100051879883,0.7547411918640137,1.2998017072677612,0.7556496262550354
2,0.7416875958442688,1.3049323558807373,1.4492566585540771,0.7552829384803772,1.2940651178359985,0.7564929723739624
3,0.7579357624053955,1.323663592338562,1.5309661626815796,0.7709046602249146,1.3411420583724976,0.7709143161773682
4,0.7443755865097046,1.3634107112884521,1.4961109161376953,0.7584353089332581,1.3432995080947876,0.7578597068786621
5,0.7413051128387451,1.2996851205825806,1.5313750505447388,0.749801754951477,1.3746598958969116,0.7507083415985107
6,0.7621682286262512,1.3149762153625488,1.4564874172210693,0.7726343870162964,1.331323266029358,0.7730165123939514
7,0.752063512802124,1.2961063385009766,1.4833204746246338,0.7646113038063049,1.318372130393982,0.765763521194458
8,0.7382664084434509,1.276820421218872,1.4630125761032104,0.7499235272407532,1.3468459844589233,0.7510170936584473
9,0.7138746380805969,1.2766427993774414,1.3829951286315918,0.7276986837387085,1.2903639078140259,0.7286127209663391
