EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7380197644233704,1.3111284971237183,1.5038700103759766,0.8444116115570068,0.9106637835502625,0.7873435616493225
1,0.7787330746650696,1.3461430072784424,1.4954710006713867,0.8660672903060913,0.9344854950904846,0.8195523619651794
2,0.7544041872024536,1.3464680910110474,1.4907504320144653,0.8364426493644714,0.8944510221481323,0.7872357964515686
3,0.7730162143707275,1.3606821298599243,1.415423035621643,0.8450376391410828,0.9229731559753418,0.8028801679611206
4,0.7646591067314148,1.33262300491333,1.5137290954589844,0.8493725657463074,0.9249446392059326,0.7984960079193115
5,0.788036048412323,1.3719043731689453,1.5278280973434448,0.8715608716011047,0.9424372911453247,0.819191038608551
6,0.7576925754547119,1.2934370040893555,1.420375108718872,0.8376159071922302,0.917979896068573,0.8057520389556885
7,0.732921838760376,1.3267370462417603,1.4439005851745605,0.8347554802894592,0.8806442022323608,0.7854289412498474
8,0.7243116497993469,1.2940490245819092,1.4707415103912354,0.8112655878067017,0.8849496245384216,0.7681052684783936
9,0.741344690322876,1.3055226802825928,1.4737216234207153,0.8372052907943726,0.8950522541999817,0.7905573844909668
