EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7461770176887512,0.9048513174057007,0.8168538808822632,0.9235208630561829,0.7891812920570374,0.8021512031555176
1,0.7439173460006714,0.92461758852005,0.803249716758728,0.9331679940223694,0.7839804291725159,0.8051380515098572
2,0.7601233124732971,0.9144461750984192,0.8042787909507751,0.9172314405441284,0.7951961159706116,0.8172482848167419
3,0.7589265704154968,0.898391604423523,0.8290425539016724,0.9161062240600586,0.797049880027771,0.8073813319206238
4,0.7330628633499146,0.9152137041091919,0.811134934425354,0.940744936466217,0.7711721062660217,0.7975473999977112
5,0.7793554067611694,0.9219363331794739,0.8446536660194397,0.9357516765594482,0.8135744333267212,0.8288542032241821
6,0.7311267852783203,0.9090076088905334,0.7904459834098816,0.9156084656715393,0.7664424180984497,0.7882457971572876
7,0.7709569931030273,0.9426724910736084,0.8174537420272827,0.9441719055175781,0.7933902740478516,0.8164970874786377
8,0.7833192348480225,0.9644117951393127,0.835233211517334,0.9708315134048462,0.805080235004425,0.8298616409301758
9,0.755949079990387,0.9249778985977173,0.8153716921806335,0.9358687996864319,0.7860108613967896,0.8069189190864563
