EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7600104808807373,0.8611158728599548,0.7983148097991943,0.8269018530845642,0.7823432087898254,0.7970758676528931
1,0.7690619826316833,0.8678883910179138,0.8111683130264282,0.8351733088493347,0.7875558137893677,0.8018428683280945
2,0.7698009610176086,0.8603837490081787,0.8332993984222412,0.8408507704734802,0.7926425337791443,0.8002918362617493
3,0.761997640132904,0.8612872362136841,0.8223671913146973,0.8442486524581909,0.7917103171348572,0.8041936755180359
4,0.7229298949241638,0.8395752906799316,0.7848079204559326,0.8105312585830688,0.7407158017158508,0.7568596601486206
5,0.7601319551467896,0.8490656018257141,0.8311161994934082,0.8275942802429199,0.7782150506973267,0.7817803621292114
6,0.7376965284347534,0.8327789306640625,0.7922677993774414,0.8147315979003906,0.7667844295501709,0.7813219428062439
7,0.7482218146324158,0.8379480242729187,0.8011277318000793,0.8117839097976685,0.7724958658218384,0.7796821594238281
8,0.7500967383384705,0.8411104679107666,0.7908942103385925,0.8061856031417847,0.7715297937393188,0.780839741230011
9,0.7574886679649353,0.8485209345817566,0.8352712392807007,0.8396959900856018,0.7875255942344666,0.7907793521881104
