EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7676812410354614,0.7843011021614075,0.7667805552482605,0.7834009528160095,0.7690300345420837,0.783251166343689
1,0.746929943561554,0.7735355496406555,0.7477506995201111,0.7743058800697327,0.7479420304298401,0.7713649272918701
2,0.7443198561668396,0.7637006640434265,0.7447328567504883,0.7641165256500244,0.7460302710533142,0.7627757787704468
3,0.7694656848907471,0.8010348081588745,0.7692970037460327,0.8008450865745544,0.7688353061676025,0.7960208654403687
4,0.7470214366912842,0.7541464567184448,0.7483276128768921,0.7554030418395996,0.7452371120452881,0.7510741949081421
5,0.7820050716400146,0.8197196125984192,0.7826344966888428,0.820354163646698,0.7830750942230225,0.815929651260376
6,0.748328685760498,0.7605419754981995,0.747657835483551,0.7598353624343872,0.7495298981666565,0.759712815284729
7,0.7720550894737244,0.7845072746276855,0.7729694247245789,0.7853595614433289,0.7727171182632446,0.7833582162857056
8,0.7907189726829529,0.7958163022994995,0.7907049059867859,0.795765221118927,0.7904176115989685,0.7944625020027161
9,0.7744147777557373,0.7890697717666626,0.7754698991775513,0.7900795340538025,0.7735909819602966,0.7865523099899292
