EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7430594563484192,0.7568017244338989,0.7439897656440735,0.7576692700386047,0.7435770630836487,0.7553984522819519
1,0.776082456111908,0.779392421245575,0.7765091061592102,0.7797709703445435,0.776692271232605,0.7793606519699097
2,0.7312561869621277,0.7502476572990417,0.7315407991409302,0.7504974007606506,0.7288011908531189,0.7449463605880737
3,0.7669320702552795,0.7682231068611145,0.766846776008606,0.7680690884590149,0.767483115196228,0.768387496471405
4,0.7282496690750122,0.7385329604148865,0.7282775640487671,0.7385290861129761,0.7297820448875427,0.7385580539703369
5,0.786601185798645,0.8050338625907898,0.7873783707618713,0.8057298064231873,0.7845490574836731,0.7999807596206665
6,0.731393575668335,0.7416290044784546,0.7312575578689575,0.7414703369140625,0.7338104248046875,0.7425090074539185
7,0.7609977722167969,0.7713431119918823,0.7603296041488647,0.7706539034843445,0.7610916495323181,0.7697464227676392
8,0.7619342803955078,0.7751818299293518,0.7612671852111816,0.7744807004928589,0.7629961967468262,0.7744387984275818
9,0.7528077960014343,0.7543413043022156,0.7532373070716858,0.7547195553779602,0.7551062107086182,0.7563066482543945
