EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7631058692932129,0.8402800559997559,0.7843255400657654,0.8378394842147827,0.7808924913406372,0.8023655414581299
1,0.7613406181335449,0.8057757019996643,0.7909610867500305,0.8103853464126587,0.7882741093635559,0.7926234006881714
2,0.7415255308151245,0.8051378130912781,0.768511176109314,0.8073136210441589,0.7629549503326416,0.7778854370117188
3,0.758183479309082,0.8412219882011414,0.7748711705207825,0.8314821720123291,0.7713719010353088,0.7926611304283142
4,0.7592971920967102,0.8164831399917603,0.773170530796051,0.8076028823852539,0.7733587622642517,0.7859104871749878
5,0.7545375823974609,0.8187065124511719,0.7711195945739746,0.8127387762069702,0.7774123549461365,0.7929536700248718
6,0.7764132618904114,0.8359033465385437,0.8068062663078308,0.8406914472579956,0.7882029414176941,0.802241861820221
7,0.7690485119819641,0.8405539989471436,0.7917064428329468,0.8351345658302307,0.7802425622940063,0.7975702285766602
8,0.758273720741272,0.8253302574157715,0.7751684188842773,0.8173738121986389,0.7695800065994263,0.7856273055076599
9,0.746190071105957,0.8504346609115601,0.7740721106529236,0.8511577248573303,0.7611876130104065,0.7954958081245422
