EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.758186399936676,0.8695672750473022,0.7844441533088684,0.8760396242141724,0.7790693044662476,0.8026849031448364
1,0.7574458122253418,0.8722894191741943,0.7838010191917419,0.8804563879966736,0.7704418897628784,0.7932309508323669
2,0.7489991784095764,0.8235835433006287,0.7719576954841614,0.829368531703949,0.77669358253479,0.7854881286621094
3,0.7319735884666443,0.8256951570510864,0.7614835500717163,0.8367773294448853,0.7601837515830994,0.7786906361579895
4,0.7441375851631165,0.8349242210388184,0.7631186246871948,0.8367412090301514,0.775848925113678,0.7922399640083313
5,0.737981915473938,0.8477678894996643,0.752490758895874,0.8475381731987,0.7540982961654663,0.7794033288955688
6,0.7687271237373352,0.8314480781555176,0.7852856516838074,0.8325697183609009,0.7998688817024231,0.8091577291488647
7,0.7573471069335938,0.8582274913787842,0.7727367877960205,0.8554496765136719,0.7730287313461304,0.7877863645553589
8,0.7545359134674072,0.8606759309768677,0.767667829990387,0.8566175699234009,0.7759939432144165,0.7972256541252136
9,0.7487338185310364,0.8162928819656372,0.7718629240989685,0.8230212330818176,0.7711077928543091,0.7803471684455872
