EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7481322288513184,0.7798360586166382,0.7508573532104492,0.7824859619140625,0.7469643354415894,0.776519238948822
1,0.7601626515388489,0.7824761271476746,0.7604835033416748,0.7828686833381653,0.7594779133796692,0.7799161076545715
2,0.7218888401985168,0.7537052035331726,0.7231393456459045,0.754928469657898,0.7221320867538452,0.7503371834754944
3,0.7560299038887024,0.7641867399215698,0.7575812339782715,0.7656909227371216,0.7571582794189453,0.7649015784263611
4,0.7459859251976013,0.7502061128616333,0.7470657229423523,0.7511863708496094,0.7483102679252625,0.7514356970787048
5,0.7636877298355103,0.7635120749473572,0.764144778251648,0.7639142274856567,0.7624353170394897,0.7622606158256531
6,0.753498911857605,0.7758979201316833,0.7527658939361572,0.7752287983894348,0.7539833784103394,0.7742966413497925
7,0.7598409652709961,0.7609076499938965,0.7631414532661438,0.7641182541847229,0.7583383321762085,0.7591436505317688
8,0.737741231918335,0.7429397702217102,0.738850474357605,0.7439761757850647,0.7375065088272095,0.7417866587638855
9,0.7715907096862793,0.7829470038414001,0.7736826539039612,0.7849463224411011,0.7712801694869995,0.7811540365219116
