EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7620941400527954,0.775901734828949,0.7623060941696167,0.7718930840492249,0.7610347270965576,0.768151044845581
1,0.7737908959388733,0.7878627777099609,0.775098979473114,0.7848145961761475,0.7727150917053223,0.7800270318984985
2,0.7551913261413574,0.7661123275756836,0.7547619938850403,0.761954128742218,0.7568699717521667,0.7619822025299072
3,0.7396810054779053,0.7503714561462402,0.7449802756309509,0.7510024309158325,0.7435316443443298,0.7479807138442993
4,0.7424996495246887,0.7602160573005676,0.7441629767417908,0.7572419047355652,0.7427195906639099,0.752859354019165
5,0.7989919781684875,0.8080241084098816,0.8026031851768494,0.8075599670410156,0.8011148571968079,0.804862380027771
6,0.7585849761962891,0.7688949108123779,0.7606832385063171,0.7666804194450378,0.7602702379226685,0.764817476272583
7,0.745413601398468,0.7541980743408203,0.7489299774169922,0.7535019516944885,0.7481832504272461,0.7513676881790161
8,0.7415398955345154,0.7519736289978027,0.7457735538482666,0.7519056797027588,0.7464191317558289,0.7510312795639038
9,0.7553804516792297,0.7661948800086975,0.7558502554893494,0.7629043459892273,0.7581284642219543,0.7630279660224915
