EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7279642820358276,1.095591425895691,1.2229186296463013,1.0180381536483765,0.7799077033996582,0.7754501104354858
1,0.7817732691764832,1.1073893308639526,1.2708570957183838,1.0411159992218018,0.8432234525680542,0.8308311104774475
2,0.7641763687133789,1.103580117225647,1.250240683555603,1.0584200620651245,0.8291445970535278,0.8239119648933411
3,0.7656973004341125,1.1318035125732422,1.2494659423828125,1.0546870231628418,0.8232641816139221,0.8210396766662598
4,0.756463885307312,1.1070986986160278,1.2276605367660522,1.0272846221923828,0.8119897842407227,0.8098874688148499
5,0.7664205431938171,1.141295075416565,1.2391266822814941,1.041799783706665,0.8055680394172668,0.8095649480819702
6,0.7626903653144836,1.1381012201309204,1.2553870677947998,1.0520989894866943,0.8057466149330139,0.8060468435287476
7,0.7506163716316223,1.1024283170700073,1.1979268789291382,1.028751015663147,0.8090049028396606,0.8125201463699341
8,0.7467855215072632,1.1046621799468994,1.1794836521148682,1.008684754371643,0.8002597689628601,0.8086744546890259
9,0.7672987580299377,1.1761999130249023,1.2231175899505615,1.041444182395935,0.796674907207489,0.804943323135376
