EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7385103106498718,0.764665961265564,0.7701013684272766,0.7385155558586121
1,0.764232337474823,0.7888470888137817,0.797558069229126,0.764233410358429
2,0.7631721496582031,0.8007552623748779,0.7749181985855103,0.7631826400756836
3,0.7594410181045532,0.7882829308509827,0.7873401641845703,0.7594416737556458
4,0.7581416964530945,0.7839013338088989,0.8019963502883911,0.7581262588500977
5,0.7461787462234497,0.7707449793815613,0.7816663384437561,0.7461817264556885
6,0.7427404522895813,0.7661899328231812,0.7753196954727173,0.7427433133125305
7,0.7351457476615906,0.7656248211860657,0.7694199085235596,0.7351455688476562
8,0.7440001368522644,0.770639181137085,0.782247006893158,0.7439978122711182
9,0.7558474540710449,0.7919538617134094,0.769447386264801,0.7558637857437134
10,0.7369399666786194,0.7706238627433777,0.7686913013458252,0.7369382381439209
11,0.7817779779434204,0.8170781135559082,0.8082183003425598,0.7817739844322205
12,0.7982964515686035,0.836825430393219,0.8118672370910645,0.7982997298240662
13,0.7405981421470642,0.7657331228256226,0.7774680256843567,0.740601122379303
14,0.7681757211685181,0.7912228107452393,0.8044728636741638,0.7681684494018555
15,0.7679107785224915,0.7980859875679016,0.7977599501609802,0.767907440662384
16,0.7664719223976135,0.7889840602874756,0.8087513446807861,0.7664634585380554
17,0.7403554320335388,0.7620574235916138,0.7838255763053894,0.7403520941734314
18,0.7733587622642517,0.7962982654571533,0.8121223449707031,0.7733572125434875
19,0.77083820104599,0.8095319271087646,0.7952297925949097,0.770835816860199
20,0.7571843266487122,0.7783562541007996,0.7971022129058838,0.7571784257888794
21,0.7756866812705994,0.802827000617981,0.8085219860076904,0.7756789326667786
22,0.7707806825637817,0.8048730492591858,0.7914032340049744,0.7707840204238892
23,0.7624730467796326,0.7852973937988281,0.8012692928314209,0.7624712586402893
24,0.7433568239212036,0.7667996287345886,0.7847534418106079,0.7433496117591858
25,0.7678661346435547,0.7890654802322388,0.8109862804412842,0.7678577899932861
26,0.7565521001815796,0.7768668532371521,0.7936360836029053,0.7565523386001587
27,0.7595507502555847,0.7892350554466248,0.7910499572753906,0.7595505714416504
28,0.7328765392303467,0.7635806202888489,0.7589552998542786,0.7328840494155884
29,0.7853951454162598,0.810055136680603,0.8182550072669983,0.78538978099823
30,0.7657225131988525,0.7920551896095276,0.803048312664032,0.7657153606414795
31,0.7645497918128967,0.7950564026832581,0.7932109832763672,0.7645518779754639
32,0.7728971838951111,0.8020460605621338,0.7993170619010925,0.7729018926620483
33,0.7309420108795166,0.7726022005081177,0.7506939768791199,0.7309455871582031
34,0.7673693895339966,0.7845078706741333,0.8113760948181152,0.7673674821853638
35,0.7570133805274963,0.7866716980934143,0.7938535213470459,0.7570049166679382
36,0.7456985712051392,0.7796557545661926,0.7713946104049683,0.7457018494606018
37,0.7763713598251343,0.805213987827301,0.8074615597724915,0.7763716578483582
38,0.7409151792526245,0.7695773839950562,0.7757118940353394,0.7409154176712036
39,0.7509471774101257,0.7813825607299805,0.7823144197463989,0.750947892665863
40,0.7564934492111206,0.7824491858482361,0.7937998175621033,0.7564929127693176
41,0.7177333235740662,0.7497228384017944,0.7511600852012634,0.7177332639694214
42,0.7758508920669556,0.8035402297973633,0.8158859610557556,0.7758369445800781
43,0.7406492233276367,0.764408528804779,0.7837135791778564,0.7406396269798279
44,0.7515897750854492,0.7772582769393921,0.7900192737579346,0.7515861392021179
45,0.7588593363761902,0.7804903984069824,0.801821768283844,0.75885409116745
46,0.7819128036499023,0.8039628267288208,0.8208107948303223,0.7819019556045532
47,0.7702063918113708,0.7976186871528625,0.809891402721405,0.7701982259750366
48,0.765819787979126,0.7973401546478271,0.7964138984680176,0.7658190131187439
49,0.7500171661376953,0.7767075896263123,0.7804164290428162,0.7500205636024475
