EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7907583117485046,0.8383938670158386,0.7930718660354614,0.8406178951263428,0.8382135033607483,0.8534924983978271
1,0.7600815892219543,0.8086045384407043,0.7613136172294617,0.8097555041313171,0.7923869490623474,0.8107256889343262
2,0.7749989628791809,0.8028783798217773,0.7751134037971497,0.8026446104049683,0.8021937608718872,0.8093590140342712
3,0.7700885534286499,0.7991000413894653,0.7708481550216675,0.7997735142707825,0.7847253084182739,0.7929494976997375
4,0.7489047646522522,0.777849555015564,0.7490423917770386,0.7779185175895691,0.7884760499000549,0.7976904511451721
5,0.7430150508880615,0.7674914598464966,0.7452633380889893,0.7696551084518433,0.7830036878585815,0.7922325134277344
6,0.7589638233184814,0.7752562761306763,0.7601056694984436,0.7761481404304504,0.793417751789093,0.7970800399780273
7,0.7448951005935669,0.7707388997077942,0.7447597980499268,0.7705081105232239,0.7720178365707397,0.780484676361084
8,0.7688642740249634,0.7899429798126221,0.7698153853416443,0.7909087538719177,,
9,0.7548682689666748,0.7830264568328857,0.7571848034858704,0.7851990461349487,0.7774479985237122,0.7896104454994202
