EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata,bayes_rawdata,bayes_atdata
0,0.7631152272224426,0.7768586277961731,0.7633281946182251,0.7770386934280396,,
1,0.7648012638092041,0.7647368907928467,0.7648903727531433,0.7648226022720337,,
2,0.7504024505615234,0.7505313158035278,0.7509092688560486,0.7510371208190918,0.7782119512557983,0.7782549262046814
3,0.7658962607383728,0.7661850452423096,0.7667942047119141,0.7670733332633972,0.7830789685249329,0.7828681468963623
4,0.750769853591919,0.7511168122291565,0.7500999569892883,0.7504487633705139,0.7872017621994019,0.7870099544525146
5,0.7330087423324585,0.7393085360527039,0.7328406572341919,0.7391268014907837,0.759367823600769,0.7613955140113831
6,0.7879204154014587,0.8232750296592712,0.7883516550064087,0.8237268328666687,0.8092871308326721,0.8306801915168762
7,0.7499772906303406,0.750859260559082,0.7494384050369263,0.7503067255020142,,
8,0.749700665473938,0.7551652193069458,0.7505362629890442,0.7559797763824463,,
9,0.7425163984298706,0.7436398267745972,0.7429777979850769,0.7440893054008484,0.7636741399765015,0.7639089226722717
